央视频道,#genre#
爱宠宠物专区,rtsp://182.139.235.40/PLTV/446/224/3221228499/656044618.smil
生活时尚,rtsp://182.139.235.40/PLTV/446/224/3221228497/656044375.smil
环球旅游,rtsp://182.139.235.40/PLTV/446/224/3221228471/656044603.smil
茶频道,rtsp://182.139.235.40/PLTV/446/224/3221228681/694512629.smil
乐龄学堂专区,rtsp://182.139.235.40/PLTV/446/224/3221228582/686531562.smil
熊猫24小时专区,rtsp://182.139.235.40/PLTV/446/224/3221228575/686532406.smil
综艺咖秀专区,rtsp://182.139.235.40/PLTV/446/224/3221228579/686531966.smil
红色经典专区,rtsp://182.139.235.40/PLTV/446/224/3221228580/686532582.smil
精彩推荐专区,rtsp://182.139.235.40/PLTV/88888896/224/3221228388/646135582.smil
直播室1,rtsp://182.139.235.40/PLTV/88888893/224/3221227024/10000100000000060000000003216340_0.smil
直播室2,rtsp://182.139.235.40/PLTV/88888893/224/3221227026/10000100000000060000000003216415_0.smil
直播室3,rtsp://182.139.235.40/PLTV/88888893/224/3221227451/10000100000000060000000003216416_0.smil
直播室4,rtsp://182.139.235.40/PLTV/88888893/224/3221227028/10000100000000060000000003216417_0.smil
直播室5,rtsp://182.139.235.40/PLTV/88888893/224/3221227453/10000100000000060000000003216418_0.smil
直播室6,rtsp://182.139.235.40/PLTV/88888893/224/3221227030/10000100000000060000000003216419_0.smil
直播室7,rtsp://182.139.235.40/PLTV/88888893/224/3221227032/10000100000000060000000003216420_0.smil
直播室8,rtsp://182.139.235.40/PLTV/88888893/224/3221227455/10000100000000060000000003216421_0.smil
红原日干乔,rtsp://182.139.235.40/PLTV/88888896/224/3221228455/640973808.smil
红原月亮湾,rtsp://182.139.235.40/PLTV/88888896/224/3221228424/640973626.smil
电信导视3,rtsp://182.139.235.40/PLTV/88888896/224/3221228650/711984139.smil
雅克音乐节直播,rtsp://182.139.235.40/PLTV/88888896/224/3221228591/681159125.smil
云演艺宣传,rtsp://182.139.235.40/PLTV/88888896/224/3221228538/678607124.smil
创新及人才文化节,rtsp://182.139.235.40/PLTV/88888896/224/3221228533/678608065.smil
920,rtsp://182.139.235.40/PLTV/89888988/224/3221228251/10000100000000060000000004549424_0.smil
921,rtsp://182.139.235.40/PLTV/89888988/224/3221228246/10000100000000060000000004549423_0.smil
922,rtsp://182.139.235.40/PLTV/89888988/224/3221228253/10000100000000060000000004549426_0.smil
923,rtsp://182.139.235.40/PLTV/89888988/224/3221228252/10000100000000060000000004549427_0.smil
924,rtsp://182.139.235.40/PLTV/89888988/224/3221228245/10000100000000060000000004549395_0.smil
925,rtsp://182.139.235.40/PLTV/89888988/224/3221228240/10000100000000060000000004549369_0.smil
926,rtsp://182.139.235.40/PLTV/89888988/224/3221228250/10000100000000060000000004549417_0.smil
927,rtsp://182.139.235.40/PLTV/89888988/224/3221228248/10000100000000060000000004549379_0.smil
928,rtsp://182.139.235.40/PLTV/89888988/224/3221228243/10000100000000060000000004549380_0.smil
世界,#genre#
凤凰中文台,http://192.168.31.10:4040/udp/239.93.0.162:2192
凤凰中文台,http://192.168.31.10:4040/udp/239.93.1.9:2192
凤凰资讯,http://192.168.31.10:4040/udp/239.93.0.118:2191
凤凰资讯,http://192.168.31.10:4040/udp/239.93.1.4:2191
Channel [V],http://192.168.31.10:4040/udp/239.93.0.157:2194
Channel [V],http://192.168.31.10:4040/udp/239.93.1.7:2194
星空卫视,http://192.168.31.10:4040/udp/239.93.0.156:2193
TVBS新闻台,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
TVBS新聞台,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8
TVBS亚洲台,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
TVBS亚洲台,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲台,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
東森超視34.5,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
東森美洲,http://38.64.72.148/hls/modn/list/2015/chunklist1.m3u8
東森美洲,http://38.64.72.148/hls/modn/list/2015/chunklist0.m3u8
华语电视2,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
华语电视3,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
TW台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
